tipo_interferencia,tecnologia_desejado,tecnologia_interferente,delta_canal,ci_requerida_db,observacao
cocanal,analogica,analogica,n,45.0,
cocanal,analogica,digital,n,7.0,
cocanal,digital,analogica,n,34.0,
cocanal,digital,digital,n,19.0,
cocanal_decalado,analogica,analogica,n±,28.0,
cocanal_decalado,analogica,digital,n±,7.0,
canal_adjacente_superior,analogica,analogica,n+1,-12.0,
canal_adjacente_superior,analogica,digital,n+1,-31.0,
canal_adjacente_inferior,analogica,analogica,n-1,-6.0,
canal_adjacente_inferior,analogica,digital,n-1,-31.0,
oscilador_local_(3),analogica,analogica,n±7,-6.0,
batimento_de_fi,analogica,analogica,n±8,-12.0,
frequência_imagem_de_áudio,analogica,analogica,n+14,-6.0,
frequência_imagem_de_vídeo,analogica,analogica,n+15,3.0,
